fc_name,object_name
上海常春藤投资控股有限公司,51订货
北京华睿智富投资管理有限公司,51订货
华睿智富,51订货
常春藤资本,51订货
彬复资本,51订货
顺为资本,51订货
常春藤资本,51订货(我要订货网)
彬复资本,51订货(我要订货网)
德联资本(联和运通),51订货(我要订货网)
恒毓投资,51订货(我要订货网)
顺为资本,51订货(我要订货网)
德迅投资,51贷
架桥投资,51贷
雷雨资本(微投VChello),51贷
正时资本,51车分期
汇宇控股,51返呗
金诺房产,51返呗
阿拉科技,51返呗
利欧集团股份,51进口车
利欧集团股份有限公司,51进口车
国灏创投,51进口车
北京世纪好未来教育科技有限公司,51配资
好未来,51配资
好未来(学而思),51配资
上海隆亮投资管理股份有限公司,51随意行
浙商创投,525我爱我家
浙商创投股份有限公司,525我爱我家
浙江天使湾创业投资有限公司,52赫兹
华旦天使投资,55公里旅行
网宇科技,55公里旅行
花贝投资,55公里旅行
JJ比赛(竞技创投),55海淘
SIG海纳亚洲,56网
人人公司,56网
北京千橡网景科技发展有限公司,56网
北京搜狐互联网信息服务有限公司,56网
思伟投资,56网
搜狐,56网
红杉资本中国,56网
风云资本,58企服
58同城,58众创
北京风云际会投资管理有限公司,58众创
风云资本,58众创
北京风云际会投资管理有限公司,58农服
风云资本,58农服
KKR,58到家
中国平安保险（集团）股份有限公司,58到家
平安创新投资基金,58到家
阿里巴巴,58到家
DCM中国,58同城
华平投资WI Harper Group,58同城
腾讯,58同城
赛富基金,58同城
58同城,58月嫂
乐奕创投,58月嫂
同道齐创,58月嫂
道生投资,58月嫂
58同城,58汽车陪练
华创汇才投资管理（北京）有限公司,58汽车陪练
华创资本,58汽车陪练
58同城,58益村
风云资本,58益村
海泉基金(胡海泉),58财福-易君财富
PreAngel,58货运
PreAngel Fund,58货运
上海伯藜投资管理有限公司,58货运
伯藜创投,58货运
十维资本,58货运
喔赢资本,58货运
嘉维资本,58货运
杭州十维创业投资合伙企业（有限合伙）,58货运
阿米巴资本,58货运
百度公司,58车
58同城,58速运
腾讯,58速运
维西资本,591结婚网
appWorks之初创投,5945呼叫师傅
不公开的投资者,59ET信息技术有限公司
华兴资本,59store
君联资本,59store
君联资本管理股份有限公司,59store
奥瑞金,59store
深创投,59store
玖富,59store
暾澜投资,59云印
创新工场,5EPlay易玩网
红杉资本中国,5EPlay易玩网
英雄互娱,5EPlay易玩网
英雄传媒,5EPlay易玩网
PreAngel,5TV我视
启峰资本,5TV我视
场景基金,5TV我视
上海挚信投资管理有限公司,5U家庭医生
挚信资本,5U家庭医生
赛富基金,5U家庭医生
赛富投资基金,5U家庭医生
嘉兴自知股权投资管理有限公司,5X兴趣社区
明势资本,5X兴趣社区
Beckman,5app
Beckman Group,5app
中华财路,5i课堂
IDG资本,5miles第三石科技
SIG海纳亚洲,5miles第三石科技
元璟资本,5miles第三石科技
晨兴资本,5miles第三石科技
蓝湖资本,5miles第三石科技
元航资本,5wei OS五味
励石投资,5wei OS五味
易宝支付,5wei OS五味
浅石创投,5wei OS五味
紫牛基金,5wei OS五味
隆领投资,5wei OS五味
德迅投资,5秒轻游戏平台
三行资本,66
北京三行资本管理有限责任公司,66
初创投资,66WiFi逗玩科技
奇虎360,66WiFi逗玩科技
三行资本,66游戏圈
Bain,6Sense
Bain Capital Ventures,6Sense
Battery Ventures,6Sense
Capital,6Sense
Venrock,6Sense
Ventures,6Sense
硅谷银行,6Sense
硅谷银行Silicon Valley Bank,6Sense
贝恩资本,6Sense
Foundry,6SensorLabs
Lemnos Labs,6SensorLabs
SK Ventures,6SensorLabs
SK电讯创投(中国),6SensorLabs
Sherpa,6SensorLabs
Sherpa Foundry,6SensorLabs
SoftTech,6SensorLabs
SoftTech VC,6SensorLabs
Upfront,6SensorLabs
Upfront Ventures,6SensorLabs
Ventures,6SensorLabs
Lenskart,6over6
众信旅游,6人游旅行网
北京五岳兄弟科技有限公司,6人游旅行网
北京险峰华兴投资咨询有限公司,6人游旅行网
华创汇才投资管理（北京）有限公司,6人游旅行网
华创资本,6人游旅行网
厦门嘉汇,6人游旅行网
同方创投,6人游旅行网
泰山兄弟创始基金,6人游旅行网
达晨创投,6人游旅行网
险峰长青,6人游旅行网
北京初心远景投资管理有限公司,7+健身
知初资本,7+健身
IDG资本,700Bike
上海峰上投资管理有限公司,700Bike
北京高榕资本管理咨询有限公司,700Bike
华创汇才投资管理（北京）有限公司,700Bike
华创资本,700Bike
高榕资本,700Bike
IDG资本,700Bike柒零零
华创资本,700Bike柒零零
高榕资本,700Bike柒零零
红邑资本,704校花
1号生活,715有家超市
广州聚物霸投资,715有家超市
深圳海萨尔投资,715有家超市
中国联通,720健康管家(720环境宝)
山水创投,720健康管家(720环境宝)
诚成资本,720健康管家(720环境宝)
IDG资本,720全景电商
青果创投,720全景电商
北京春晓汇商股权投资管理有限公司,72auto
春晓资本,72auto
北京芳晟投资管理中心（有限合伙）,72变
晟初投资,72变
正和岛正和磁系资本,72变
芳晟股权投资基金,72变
挚信资本,730数字校园平台
瑞实企业,73hours高跟73小时
祥峰投资,73hours高跟73小时
纪源资本GGV,73hours高跟73小时
华映资本,747盒子、WiFi管家
Investec英国天达集团,76hui企乐汇
Ventech China银泰资本,76hui企乐汇
中天银泰,76hui企乐汇
顺为资本,76hui企乐汇
云起资本,798手绘网
北京云起投资管理有限公司,798手绘网
GGV纪源资本,7K7K小游戏
凯旋创投,7K7K小游戏
凯旋通（北京）投资顾问有限公司,7K7K小游戏
启明创投,7K7K小游戏
启明维创创业投资管理（北京）有限公司,7K7K小游戏
晨兴资本,7K7K小游戏
凯旋创投,7K7K小游戏网
启明创投,7K7K小游戏网
晨兴资本,7K7K小游戏网
淘米网络,7K7K小游戏网
纪源资本GGV,7K7K小游戏网
